id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
371,,,Amsteg,Amsteg dotierzentrale,Switzerland,Hydro,Run-Of-River,0.72,46.7151423238,8.61105066077,"BFE, Switzerland Power Plant.csv",0.490343921778
372,,,Stäubenwald,Stäubenwald,Switzerland,Hydro,Run-Of-River,0.31,46.7281811232,8.62036146626,"BFE, Switzerland Power Plant.csv",0.211120299655
373,,,Äsch,Äsch,Switzerland,Hydro,Run-Of-River,0.52,46.8652358009,8.81028683203,"BFE, Switzerland Power Plant.csv",0.35413727684
374,,,Bürglen loreto,Bürglen loreto,Switzerland,Hydro,Run-Of-River,1.5,46.8765292426,8.6633716678,"BFE, Switzerland Power Plant.csv",1.02154983704
375,,,Kleintal isenthal,Kleintal isenthal,Switzerland,Hydro,Run-Of-River,1.18,46.9100429809,8.56226516908,"BFE, Switzerland Power Plant.csv",0.803619205137
376,,,Ruosalp,Sahli ruosalp,Switzerland,Hydro,Run-Of-River,4.7,46.9176188126,8.84549886362,"BFE, Switzerland Power Plant.csv",3.20085615605
377,,,Ibach,Ibach,Switzerland,Hydro,Run-Of-River,0.32,47.0071473786,8.64715120305,"BFE, Switzerland Power Plant.csv",0.217930631902
378,,,Ingenbohl,Ingenbohl,Switzerland,Hydro,Run-Of-River,0.6,47.0046337809,8.6119820992,"BFE, Switzerland Power Plant.csv",0.408619934815
379,,,Sustli,Sustli,Switzerland,Hydro,Run-Of-River,1.63,46.963776447,8.48336356408,"BFE, Switzerland Power Plant.csv",1.11008415625
380,,,Unteraa melchaa,Unteraa melchaa,Switzerland,Hydro,Reservoir,12.0,46.8214351941,8.1744623486,"BFE, Switzerland Power Plant.csv",8.17239869631
381,,,Wisserlen,Wisserlen,Switzerland,Hydro,Run-Of-River,1.15,46.9102736664,8.29644423422,"BFE, Switzerland Power Plant.csv",0.783188208396
382,,,Eichi,"Eichi, alpnach",Switzerland,Hydro,Run-Of-River,2.4,46.9407431769,8.28786773153,"BFE, Switzerland Power Plant.csv",1.63447973926
383,,,Rotzloch,Rotzloch,Switzerland,Hydro,Run-Of-River,0.3,46.9648831886,8.33108666537,"BFE, Switzerland Power Plant.csv",0.204309967408
384,,,Mühlenplatz,Mühlenplatz,Switzerland,Hydro,Run-Of-River,0.93,47.0517337725,8.30199665485,"BFE, Switzerland Power Plant.csv",0.633360898964
385,,,Wolhusen geistlich,Wolhusen geistlich,Switzerland,Hydro,Run-Of-River,0.33,47.0550001861,8.07763365713,"BFE, Switzerland Power Plant.csv",0.224740964148
386,,,Malters ettisbühl,Ettisbühl,Switzerland,Hydro,Run-Of-River,0.87,47.0382855313,8.16559322075,"BFE, Switzerland Power Plant.csv",0.592498905482
387,,,Stollen,Stollen,Switzerland,Hydro,Run-Of-River,0.71,47.0337616233,8.23723761716,"BFE, Switzerland Power Plant.csv",0.483533589532
388,,,Thorenberg,Thorenberg,Switzerland,Hydro,Run-Of-River,0.79,47.0525764602,8.24804704827,"BFE, Switzerland Power Plant.csv",0.538016247507
389,,,Emmenweid,Emmenweid,Switzerland,Hydro,Run-Of-River,1.08,47.0670379793,8.26366866258,"BFE, Switzerland Power Plant.csv",0.735515882668
390,,,Rathausen,Rathausen,Switzerland,Hydro,Run-Of-River,2.1,47.0817753951,8.3143325152,"BFE, Switzerland Power Plant.csv",1.43016977185
391,,,Innere spinnerei,Innere spinnerei,Switzerland,Hydro,Run-Of-River,0.45,47.1403291209,8.57250348397,"BFE, Switzerland Power Plant.csv",0.306464951112
392,,,"Wkw neuägeri, gmde menzingen",Neuägeri,Switzerland,Hydro,Run-Of-River,0.34,47.1528364463,8.56301002572,"BFE, Switzerland Power Plant.csv",0.231551296395
393,,,Lorzentobel,Lorzentobel,Switzerland,Hydro,Run-Of-River,5.74,47.1826928598,8.55158504441,"BFE, Switzerland Power Plant.csv",3.90913070973
394,,,Untermühle,"Untermühle, cham",Switzerland,Hydro,Run-Of-River,0.6,47.1964928952,8.44330123323,"BFE, Switzerland Power Plant.csv",0.408619934815
395,,,Hagendorn,Hagendorn,Switzerland,Hydro,Run-Of-River,0.58,47.2016699737,8.43759101386,"BFE, Switzerland Power Plant.csv",0.394999270322
396,,,Bruggmühle,Bruggmühle,Switzerland,Hydro,Run-Of-River,0.54,47.3497309812,8.33924607379,"BFE, Switzerland Power Plant.csv",0.367757941334
397,,,Windisch,Windisch,Switzerland,Hydro,Run-Of-River,1.59,47.4813098091,8.23042079077,"BFE, Switzerland Power Plant.csv",1.08284282726
398,,,Linthkraft stiftung,Linthkraft stiftung,Switzerland,Hydro,Run-Of-River,0.5,46.9200748442,8.99630573219,"BFE, Switzerland Power Plant.csv",0.340516612346
399,,,"Brummbach, braunwald","Brummbach, braunwald",Switzerland,Hydro,Run-Of-River,0.93,46.9386081948,8.98305061474,"BFE, Switzerland Power Plant.csv",0.633360898964
400,,,Diesbach linth,Diesbach linth,Switzerland,Hydro,Run-Of-River,0.93,46.9511277567,9.02808233474,"BFE, Switzerland Power Plant.csv",0.633360898964
401,,,Luchsingen,Luchsingen,Switzerland,Hydro,Run-Of-River,3.5,46.9660497748,9.0354895251,"BFE, Switzerland Power Plant.csv",2.38361628642
402,,,Leuggelbach,Leuggelbach,Switzerland,Hydro,Run-Of-River,1.0,46.9774012894,9.04726356888,"BFE, Switzerland Power Plant.csv",0.681033224692
403,,,Haslen,Haslen,Switzerland,Hydro,Run-Of-River,0.92,46.9838748007,9.06034155135,"BFE, Switzerland Power Plant.csv",0.626550566717
404,,,Schwanden f.blumer,Schwanden f.blumer,Switzerland,Hydro,Run-Of-River,0.9,46.9937940839,9.07773551203,"BFE, Switzerland Power Plant.csv",0.612929902223
405,,,Empächli,Empächli,Switzerland,Hydro,Run-Of-River,0.33,46.9223429911,9.15841990058,"BFE, Switzerland Power Plant.csv",0.224740964148
406,,,Krauchbachwerk,Krauchbach,Switzerland,Hydro,Run-Of-River,0.64,46.9561528371,9.15976534811,"BFE, Switzerland Power Plant.csv",0.435861263803
407,,,"Engi, hinterdorf sernf","Engi, hinterdorf sernf",Switzerland,Hydro,Run-Of-River,0.53,46.9744263563,9.159168101,"BFE, Switzerland Power Plant.csv",0.360947609087
408,,,Engi,"Engi, vorderdorf mühlebach",Switzerland,Hydro,Run-Of-River,3.75,46.9850426515,9.15319754055,"BFE, Switzerland Power Plant.csv",2.5538745926
409,,,Schwanden gemeinde,Schwanden gemeinde,Switzerland,Hydro,Run-Of-River,1.8,46.9956406573,9.08699685101,"BFE, Switzerland Power Plant.csv",1.22585980445
410,,,Schwanden sne,Schwanden sne,Switzerland,Hydro,Run-Of-River,0.5,46.994725001,9.08184034492,"BFE, Switzerland Power Plant.csv",0.340516612346
411,,,Mühlefuhr,Mühlefuhr,Switzerland,Hydro,Run-Of-River,0.82,47.0265624558,9.08268411153,"BFE, Switzerland Power Plant.csv",0.558447244248
412,,,Walzmühle,Walzmühle,Switzerland,Hydro,Run-Of-River,0.32,47.0493657979,9.067192771,"BFE, Switzerland Power Plant.csv",0.217930631902
413,,,"Elggiskraft, netstal","Elggiskraft, netstal",Switzerland,Hydro,Run-Of-River,0.8,47.063765377,9.0605203259,"BFE, Switzerland Power Plant.csv",0.544826579754
414,,,"Linthkraft, netstal","Linthkraft, netstal",Switzerland,Hydro,Run-Of-River,1.42,47.0737495147,9.06069079857,"BFE, Switzerland Power Plant.csv",0.967067179063
415,,,Mels tobel,Tobel,Switzerland,Hydro,Run-Of-River,0.99,47.0382556599,9.3927198108,"BFE, Switzerland Power Plant.csv",0.674222892445
416,,,Mels kw stoffel,Mels stoffel,Switzerland,Hydro,Run-Of-River,3.3,47.0432633834,9.41554241732,"BFE, Switzerland Power Plant.csv",2.24740964148
417,,,Mels halde,Mels halde,Switzerland,Hydro,Run-Of-River,0.55,47.0445449435,9.4142733533,"BFE, Switzerland Power Plant.csv",0.374568273581
418,,,Flums pravizin Äuli,Pravizin Äuli,Switzerland,Hydro,Run-Of-River,0.7,47.0862894131,9.33453362605,"BFE, Switzerland Power Plant.csv",0.476723257285
419,,,Flums felsen,Felsen,Switzerland,Hydro,Run-Of-River,1.45,47.0880841876,9.34026178488,"BFE, Switzerland Power Plant.csv",0.987498175804
420,,,Flums neues sägengüetli,Neues sägengüetli,Switzerland,Hydro,Run-Of-River,1.19,47.0886280848,9.34001761784,"BFE, Switzerland Power Plant.csv",0.810429537384
421,,,Töbeli,Töbeli,Switzerland,Hydro,Run-Of-River,0.6,47.1248957041,9.32865044802,"BFE, Switzerland Power Plant.csv",0.408619934815
