"id","Name","Fueltype","Classification","Country","Capacity","lat","lon","Geoposition","File"
266,"Tokke","Hydro","Run-of-river, Reservoir","Norway",1170,59.44436,8.03839,"59.44436,8.03839",
267,"Tonstad","Hydro","Run-of-river, Reservoir","Norway",1600,58.65924,6.71685,"58.65924,6.71685",
268,"Torpa","Hydro","Run-of-river","Norway",15,60.99609,10.0577,"60.99609,10.0577",
269,"Tyin","Hydro","Run-of-river, Reservoir","Norway",884,61.31018,7.83131,"61.31018,7.83131",
270,"Vinstra","Hydro","Run-of-river","Norway",176,61.48251,9.31276,"61.48251,9.31276",
271,"Vinstra extension","Hydro","Run-of-river","Norway",100,61.5935,9.756452,"61.5935,9.756452",
272,"Vinstra","Hydro","Run-of-river, Reservoir","Norway",438,61.57605,9.79775,"61.57605,9.79775",
273,"Ylja","Hydro","Run-of-river","Norway",65,61.19751,8.38084,"61.19751,8.38084",
274,"Aurland","Hydro","Pumped Storage, Reservoir","Norway",540,60.80095,7.56658,"60.80095,7.56658",
275,"Brattingfoss","Hydro","Pumped Storage, Reservoir","Norway",21.4,64.04331,11.08354,"64.04331,11.08354",
276,"Breive","Hydro","Pumped Storage","Norway",,59.34647,7.24939,"59.34647,7.24939",
277,"Buavatn","Hydro","Pumped Storage","Norway",40,63.84514,10.68782,"63.84514,10.68782",
278,"Duge","Hydro","Pumped Storage","Norway",200,59.11916,6.89335,"59.11916,6.89335",
279,"Fossdal","Hydro","Pumped Storage","Norway",,61.16308,7.75083,"61.16308,7.75083",
280,"Herva","Hydro","Pumped Storage","Norway",33,61.56622,7.86239,"61.56622,7.86239",
