id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1791,,Erzhausen,,,,Germany,Hydro,Pumped Storage,220.0,51.9,9.93,energy_storage_exchange
1794,,Herdecke,,,,Germany,Hydro,Pumped Storage,153.0,51.4,7.43,energy_storage_exchange
1795,,Langenprozelten,,,,Germany,Hydro,Pumped Storage,164.0,50.06,9.63,energy_storage_exchange
1796,,Ruselkraftwerke,,,,Germany,Hydro,Pumped Storage,3.5,48.86,13.0,energy_storage_exchange
1798,,Rönkhausen,,,,Germany,Hydro,Pumped Storage,140.0,51.17,7.97,energy_storage_exchange
1799,,Schwarzenbach,,,,Germany,Hydro,Pumped Storage,44.0,48.66,8.33,energy_storage_exchange
1802,,Waldeck,,,,Germany,Hydro,Pumped Storage,620.0,51.16,9.06,energy_storage_exchange
1804,,Le pouget,,,,France,Hydro,Pumped Storage,445.0,44.06,2.77,energy_storage_exchange
1808,,Super bissorte,,,,France,Hydro,Pumped Storage,748.0,45.18,6.48,energy_storage_exchange
1809,,Le cheylas,,,,France,Hydro,Pumped Storage,480.0,45.38,5.99,energy_storage_exchange
1810,,Coche,,,,France,Hydro,Pumped Storage,310.0,45.48,6.53,energy_storage_exchange
1812,,Plate taille,,,,Belgium,Hydro,Pumped Storage,143.0,50.19,4.38,energy_storage_exchange
1813,,Feldsee,,,,Austria,Hydro,Pumped Storage,140.0,47.0,13.04,energy_storage_exchange
1814,,Koralpe,,,,Austria,Hydro,Pumped Storage,50.0,46.64,14.95,energy_storage_exchange
1815,,Kops,,,,Austria,Hydro,Pumped Storage,525.0,46.99,10.03,energy_storage_exchange
1816,,Rodundwerk,,,,Austria,Hydro,Pumped Storage,493.0,47.09,9.88,energy_storage_exchange
1817,,Limberg,,,,Austria,Hydro,Pumped Storage,480.0,47.16,12.71,energy_storage_exchange
1818,,Oschenik innerfragant,,,,Austria,Hydro,Pumped Storage,108.0,47.14,12.33,energy_storage_exchange
1822,,Ružín,,,,Slovakia,Hydro,Pumped Storage,60.0,48.86,21.09,energy_storage_exchange
1825,,Artificial Powerplant,,,,Poland,Hydro,Pumped Storage,156.0,54.02,16.74,energy_storage_exchange
1827,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,468.0,42.51,1.0,energy_storage_exchange
1828,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,360.0,43.09,-4.02,energy_storage_exchange
1829,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,1014.0,43.13,-4.06,energy_storage_exchange
1830,,Artificial Powerplant,,,,Bulgaria,Hydro,Pumped Storage,104.0,42.17,23.8,energy_storage_exchange
1831,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,730.0,46.87,13.33,energy_storage_exchange
1832,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,113.0,47.36,12.64,energy_storage_exchange
1833,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,360.0,47.15,11.97,energy_storage_exchange
1835,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,120.0,47.08,13.34,energy_storage_exchange
1837,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,232.0,47.05,9.75,energy_storage_exchange
1838,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,12.0,47.05,9.75,energy_storage_exchange
1839,,Artificial Powerplant,,,,Italy,Hydro,Pumped Storage,572.0,41.29,14.74,energy_storage_exchange
1841,,Artificial Powerplant,,,,Slovenia,Hydro,Pumped Storage,185.0,46.09,13.67,energy_storage_exchange
1842,,Artificial Powerplant,,,,Croatia,Hydro,Pumped Storage,1.14,45.3,14.71,energy_storage_exchange
1843,,Artificial Powerplant,,,,Croatia,Hydro,Pumped Storage,4.6,45.3,14.71,energy_storage_exchange
1846,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,360.0,36.91,-4.76,energy_storage_exchange
1848,,Artificial Powerplant,,,,Poland,Hydro,Pumped Storage,90.0,51.99,15.06,energy_storage_exchange
1849,,Artificial Powerplant,,,,Poland,Hydro,Pumped Storage,82.8,49.41,20.33,energy_storage_exchange
1851,,Artificial Powerplant,,,,Portugal,Hydro,Pumped Storage,68.0,41.74,-7.85,energy_storage_exchange
1852,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,11.3,27.8,-17.92,energy_storage_exchange
1853,,Artificial Powerplant,,,,Denmark,Hydro,Pumped Storage,0.006,54.92,9.68,energy_storage_exchange
1854,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,289.0,47.25,11.6,energy_storage_exchange
1855,,Artificial Powerplant,,,,Bulgaria,Hydro,Pumped Storage,160.0,41.74,24.39,energy_storage_exchange
1856,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,3.6,36.96,-4.8,energy_storage_exchange
1857,,Artificial Powerplant,,,,Spain,Hydro,Pumped Storage,84.0,42.72,-0.46,energy_storage_exchange
1858,,Artificial Powerplant,,,,Ireland,Hydro,Pumped Storage,1.5,53.74,-9.57,energy_storage_exchange
1866,,Artificial Powerplant,,,,Austria,Hydro,Pumped Storage,360.0,47.06,9.93,energy_storage_exchange
1867,,Artificial Powerplant,,,,Bulgaria,Hydro,Reservoir,120.0,41.745149155,24.3704906459,
