id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
500,Neubrigg,,,Neubrigg,Hydro,Run-Of-River,Switzerland,PP,26.0,2003.0,46.3961814647,8.1342449272,BFE,"{u'OPSD': u'[OEU805]', u'CARMA': u'[30863]'}"
501,Neunkirchen,,,Ahkw neunkirchen,Waste,Steam Turbine,Germany,PP,12.0,1999.0,49.33857,7.17001,,"{u'OPSD': u'[BNA1448]', u'CARMA': u'[30910]'}"
502,Neuotting,,,Neuötting,Hydro,Run-Of-River,Germany,PP,26.1,1951.0,48.24856,12.6882725,,"{u'OPSD': u'[BNA0695]', u'CARMA': u'[30911]'}"
503,Niederaichbach,,,Niederaichbach,Hydro,Run-Of-River,Germany,PP,16.2,1951.0,48.6039132,12.3023425,,"{u'OPSD': u'[BNA1217]', u'CARMA': u'[31141]'}"
504,Niederwartha,,,Niederwartha,Hydro,Run-Of-River,Germany,PP,120.0,1957.0,51.09153428,13.60982895,,"{u'OPSD': u'[BNA0722, BNA0721]', u'CARMA': u'[31166]'}"
505,Nuova biaschina,,,Nuova biaschina,Hydro,Run-Of-River,Switzerland,PP,141.0,1974.0,46.3649512107,8.9287853678,BFE,"{u'OPSD': u'[OEU963]', u'CARMA': u'[31907]'}"
506,Obermatt,,,Obermatt nebenkraftwerk,Hydro,Run-Of-River,Switzerland,PP,33.92,1963.0,46.8425234958,8.3725857555,BFE,"{u'OPSD': u'[OEU691, OEU692]', u'CARMA': u'[32074]'}"
507,Obernach,,,Obernach,Hydro,Run-Of-River,Germany,PP,12.8,1955.0,47.554694,11.291366,,"{u'OPSD': u'[BNA1273]', u'CARMA': u'[32079]'}"
508,Obernburg,,,Obernburg,Natural Gas,CCGT,Germany,IPP,100.0,1920.0,49.82935,9.14824,,"{u'OPSD': u'[BNA0755b, BNA0755a]', u'CARMA': u'[32080]'}"
509,Oberpeiching,,,Oberpeiching,Hydro,Run-Of-River,Germany,PP,12.3,1954.0,48.646423,10.879086,,"{u'OPSD': u'[BNA1221]', u'CARMA': u'[32085]'}"
510,Offenbach,,,Offenbach,Hard Coal,Steam Turbine,Germany,CHP,64.0,1990.0,50.065155,8.768964,,"{u'OPSD': u'[BNA0758]', u'CARMA': u'[17951]'}"
511,Olivone,,,Olivone,Hydro,Reservoir,Switzerland,PP,102.0,1962.0,46.5396795136,8.9491114486,BFE,"{u'OPSD': u'[OEU965]', u'CARMA': u'[32469]'}"
512,Orsieres,,,Orsières,Hydro,Run-Of-River,Switzerland,PP,26.4,1943.0,46.0080895283,7.15805965265,BFE,"{u'OPSD': u'[OEU900, OEU899]', u'CARMA': u'[32823]'}"
