,ENTSOE,WEPP
916,1253.0,19017.0
917,1254.0,19027.0
918,1255.0,9602.0
919,1256.0,19057.0
920,1257.0,19086.0
921,1258.0,19132.0
922,1259.0,19135.0
923,1262.0,19157.0
924,1263.0,19158.0
925,1264.0,19203.0
926,1265.0,19205.0
927,1267.0,19224.0
928,1270.0,19234.0
929,1271.0,19242.0
930,1272.0,7040.0
931,1273.0,7791.0
932,1274.0,17765.0
933,1275.0,19821.0
934,1284.0,19270.0
935,1277.0,32312.0
936,1279.0,19248.0
937,1280.0,19255.0
938,1287.0,19291.0
939,1282.0,19258.0
940,1286.0,19288.0
941,1285.0,19276.0
942,1288.0,19292.0
943,1289.0,19305.0
944,1290.0,19312.0
945,1291.0,19320.0
946,1293.0,19326.0
947,1294.0,19342.0
948,1296.0,9531.0
949,1297.0,19400.0
950,1299.0,19433.0
951,1301.0,19461.0
952,1302.0,19543.0
953,1304.0,18442.0
954,1306.0,19685.0
955,1307.0,5358.0
956,1309.0,19721.0
957,1310.0,19729.0
958,1311.0,19742.0
959,1312.0,19748.0
960,1314.0,19755.0
961,1315.0,19763.0
962,1316.0,19781.0
963,1318.0,19817.0
964,1319.0,19823.0
965,1320.0,20592.0
966,1322.0,19863.0
967,1323.0,19902.0
968,1324.0,19907.0
969,1383.0,20556.0
970,1328.0,19917.0
971,1329.0,19925.0
972,1330.0,24516.0
973,1331.0,27885.0
974,1332.0,28390.0
975,1333.0,30703.0
976,1339.0,19950.0
977,1341.0,19979.0
978,1344.0,20217.0
979,1345.0,20230.0
980,1346.0,20258.0
981,1348.0,20315.0
982,1349.0,20325.0
983,1353.0,13549.0
984,1354.0,20378.0
985,1357.0,20391.0
986,1356.0,20390.0
987,1358.0,20395.0
988,1360.0,31094.0
989,1361.0,20438.0
990,1362.0,20478.0
991,1364.0,20483.0
992,1365.0,20471.0
993,1366.0,32421.0
994,1367.0,5412.0
995,1368.0,15354.0
996,1369.0,20543.0
997,1370.0,151.0
998,1371.0,724.0
999,1372.0,5175.0
1000,1373.0,10035.0
1001,1374.0,20467.0
1002,1375.0,16143.0
1003,1377.0,19088.0
1004,1378.0,19281.0
1005,1379.0,23396.0
1006,1381.0,25993.0
1007,1384.0,20591.0
1008,1385.0,20595.0
1009,1386.0,20616.0
1010,1388.0,25139.0
1011,1389.0,19791.0
1012,1393.0,20833.0
1013,1395.0,20845.0
1014,1397.0,20873.0
1015,1399.0,20875.0
1016,1400.0,20892.0
1017,1401.0,20903.0
1018,1402.0,20934.0
1019,1403.0,20944.0
1020,1404.0,20945.0
1021,1406.0,20980.0
1022,1407.0,20982.0
1023,1408.0,21050.0
1024,1409.0,21064.0
1025,1410.0,21082.0
1026,1412.0,21144.0
