Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
Paluel,3,Pressure water reactor,1330.0,1985,,France,49.858055555556,0.63555555555556,Nuclear,
Paluel,4,Pressure water reactor,1330.0,1986,,France,49.858055555556,0.63555555555556,Nuclear,
Penly,1,Pressure water reactor,1330.0,1990,,France,49.976666666667,1.2119444444444,Nuclear,
Penly,2,Pressure water reactor,1330.0,1992,,France,49.976666666667,1.2119444444444,Nuclear,
Phénix ,,Faster brutreactor,130.0,1973,2009,France,44.143333333333,4.7116666666667,Nuclear,
Saint-Alban,1,Pressure water reactor,1335.0,1985,2026,France,45.404722222222,4.7558333333333,Nuclear,
Saint-Alban,2,Pressure water reactor,1335.0,1986,2027,France,45.404722222222,4.7558333333333,Nuclear,
Saint-Laurent,A1,Ungg reactor,480.0,1969,1990,France,47.720555555556,1.5786111111111,Nuclear,
Saint-Laurent,A2,Ungg reactor,515.0,1971,1992,France,47.720555555556,1.5786111111111,Nuclear,
Saint-Laurent,B1,Pressure water reactor,915.0,1981,2023,France,47.720555555556,1.5786111111111,Nuclear,
Saint-Laurent,B2,Pressure water reactor,915.0,1981,2023,France,47.720555555556,1.5786111111111,Nuclear,
Creys-Malville,,Superphénix (Brutreaktor),1200.0,1986,1998,France,45.758333333333,5.4722222222222,Nuclear,
Tricastin,1,Pressure water reactor,915.0,1980,2035,France,44.329722222222,4.7322222222222,Nuclear,
Tricastin,2,Pressure water reactor,915.0,1980,2035,France,44.329722222222,4.7322222222222,Nuclear,
Tricastin,3,Pressure water reactor,915.0,1981,,France,44.329722222222,4.7322222222222,Nuclear,
Tricastin,4,Pressure water reactor,915.0,1981,,France,44.329722222222,4.7322222222222,Nuclear,
Caorso,1,BWR,860.0,1981,1990,Ireland,45.072222222222,9.8722222222222,Nuclear,
Enrico Fermi,1,PWR,260.0,1965,1990,Ireland,45.184093743094,8.2775545120239,Nuclear,
Garigliano,1,BWR,150.0,1964,1982,Ireland,41.258333333333,13.834722222222,Nuclear,
Latina,1,GCR,153.0,1964,1987,Ireland,41.425384,12.807001,Nuclear,
Ignalina,1,LWGR,1185.0,1985,2004,Lithuania,55.604341853648,26.562666893005,Nuclear,
Ignalina,2,LWGR,1185.0,1987,2009,Lithuania,55.604341853648,26.562666893005,Nuclear,
Borssele,1,PWR,482.0,1973,2034,Netherlands,51.430833333333,3.7183333333333,Nuclear,
Dodewaard,1,BWR,55.0,1969,1997,Netherlands,51.899569444444,5.6863277777778,Nuclear,
